window,year,trades,pf,net,balance_dd_pct
MAIN,2023,230,0.607934,-161.99,2.103930
MAIN,2024,249,0.874572,-54.99,2.636545
MAIN,2025,304,1.702662,430.50,2.600339
BWD,2020,263,1.289458,103.84,1.279196
BWD,2021,261,0.733666,-119.07,2.109293
BWD,2022,290,1.322719,95.87,1.910098
