window,year,trades,pf,net,balance_dd_pct
MAIN,2023,31,0.216115,-1368.42,16.433033
MAIN,2024,23,2.417545,170.80,14.045499
MAIN,2025,18,15.733980,273.61,11.995103
BWD,2020,35,3.305984,319.84,0.897713
BWD,2021,52,0.928651,-51.53,5.315801
BWD,2022,54,8.191401,622.20,3.112222
