symbol,tf,window,parent_pf,child_pf,parent_net,child_net,parent_eqdd_pct,child_eqdd_pct,parent_trades,child_trades
AUDUSD,H4,MAIN,0.88,0.82,-75.3,-185.01,1.37,2.39,216,334
AUDUSD,H4,BWD,0.96,0.94,-28.7,-76.91,1.53,1.94,214,337
