window,parent_pf,child_pf,child_pf_state,parent_net,child_net,net_delta,parent_trades,child_trades,trades_delta,parent_eqdd_pct,child_eqdd_pct,eqdd_delta_pp,parent_cycles,child_cycles,parent_max_depth,child_max_depth,parent_max_lots,child_max_lots,parent_active_time_share,child_active_time_share,parent_multi_entry_gp_share,child_multi_entry_gp_share
MAIN,7.97,1.37,FINITE,283.2,50.11,-233.09,80,73,-7,1.72,1.73,0.01,70,68,4,2,0.04,0.02,0.197051,0.1799,0.709579,0.52759
BWD,14.36,,UNDEFINED_NO_GROSS_LOSS,268.97,247.04,-21.93,76,73,-3,1.27,1.04,-0.23,69,69,4,2,0.04,0.02,0.089294,0.092866,0.58936,0.51943
