active_time_share,cycles,duration_max_days,eqdd,net,pf,report_sha256,top1_gp_share,trades,variant,window,zero_closed_years,pf_mt5_field,pf_state
0.03876,42,16.310185185185187,6.27,707.78,4.08,aee6819ba12f929caade4cf1b70915978a3259ec2b7136a1009e077057bb0e7e,0.1722467618376971,79,ACCEPTED_PARENT,MAIN,0,,
0.093408,70,30.300462962962964,8.29,512.69,1.44,df63addd9975b66a9471aafe929d3b7f31377a95a93342cc6f1521728f07cff3,0.09751247940003344,148,ACCEPTED_PARENT,BWD,0,,
0.580175,8,750.1666550925926,6.71% (689.15),1952.33,5.98,6d21c76cf14303a137ccb2054e0204174e94b13a8ac0497591369db3a693fd0e,0.7484687174762417,43,SINGLETP_OFF,MAIN,1,5.98,FINITE
0.725716,2,1019.3326273148148,10.60% (1 119.81),-399.24,0.17,0687487caed64405460479d9aab64cf542ef84ede4ef4202c1039586e5875002,1.0,4,SINGLETP_OFF,BWD,1,0.17,FINITE
0.706907,4,1029.1666550925927,7.53% (786.76),3394.29,,d30337e734dfe9c5d9a42582dc533deceaf032b25aec2f9f64a158d5e2e3e063,0.9971363672520616,5,BASKETTP_OFF,MAIN,1,0.0,UNDEFINED_NO_GROSS_LOSS
