variant,window,report_sha256,net,pf,trades,eqdd,cycles,active_time_share,duration_max_days,top1_gp_share,zero_closed_years
ACCEPTED_PARENT,MAIN,aee6819ba12f929caade4cf1b70915978a3259ec2b7136a1009e077057bb0e7e,707.78,4.08,79,6.27,42,0.03876,16.310185185185187,0.1722467618376971,0
ACCEPTED_PARENT,BWD,df63addd9975b66a9471aafe929d3b7f31377a95a93342cc6f1521728f07cff3,512.69,1.44,148,8.29,70,0.093408,30.300462962962964,0.09751247940003344,0
