magic,ea_name,account,net,trades,PF,win%,realized_DD
1851,UNMAPPED,159503454,8453.6,1099,2.34,74.0,1072.7
7810,UNMAPPED,159503454,1284.27,80,2.86,73.8,324.94
1114,UNMAPPED,415573666,1214.64,557,1.22,65.2,2450.1
2670,UNMAPPED,415573666,50.8,6,90.12,66.7,0.47
4378,UNMAPPED,159503454,-120.3,151,0.92,71.5,485.7
0,UNMAPPED,415573666,-364.61,79,0.67,49.4,817.2
12345,UNMAPPED,415573666,-3131.72,502,0.59,67.3,3829.83
0,UNMAPPED,159503454,-4253.3,278,0.7,38.5,8732.64
