magic,ea_name,account,net,trades,PF,win%,realized_DD
939721,ST_EA03 Count-MACD user config,159475669,163.97,9,inf,100.0,0.0
1524,NuiIndy Dynamic RSI+ADX,159475669,60.23,33,4.83,81.8,13.43
9398,ST_EA03 Count-MACD,159475669,56.57,4,inf,100.0,0.0
20240001,UNMAPPED,159475669,56.06,12,inf,100.0,0.0
8015,UNMAPPED,159475669,56.0,3,57.0,66.7,1.0
8012,UNMAPPED,159475669,44.8,2,inf,100.0,0.0
8008,UNMAPPED,159475669,39.2,2,inf,100.0,0.0
8005,UNMAPPED,159475669,35.1,2,inf,100.0,0.0
8009,UNMAPPED,159475669,29.4,2,inf,100.0,0.0
8014,UNMAPPED,159475669,23.2,2,inf,100.0,0.0
8001,UNMAPPED,159475669,13.3,2,1.16,50.0,82.6
990005,CB_GBP ConsoBreakout,159475669,1.87,1,inf,100.0,0.0
8002,UNMAPPED,159475669,-22.9,3,0.72,66.7,81.2
0,UNMAPPED,159475669,-515.79,10,0.0,0.0,515.79
12345,UNMAPPED,415573666,-1307.89,368,0.75,98.6,2788.55
