magic,ea_name,account,net,trades,PF,win%,realized_DD
0,UNMAPPED,159503454,3260.44,76,1.36,43.4,6207.94
7810,UNMAPPED,159503454,70.67,27,1.16,51.9,389.79
4378,UNMAPPED,159503454,-73.9,49,0.85,79.6,212.6
12345,UNMAPPED,415573666,-1915.78,239,0.65,98.3,2567.41
1851,UNMAPPED,159503454,-18579.2,162,0.09,62.3,19800.2
