row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,159475669,2026.09.12 05:39:59,USC,10932.61,11278.01,14.65,10917.96,74625.3,PERCENT,0.0,,,,,,,
MAGIC,159475669,2026.09.12 05:39:59,,,,,,,,,20240001,CHFJPYc,-160.01,0.03,3,1431.6,0
MAGIC,159475669,2026.09.12 05:39:59,,,,,,,,,1524,EURUSDc,-243.40,0.29,27,1096.5,0
MAGIC,159475669,2026.09.12 05:39:59,,,,,,,,,9397,GBPUSDc,58.01,0.02,2,1963.7,0
MAGIC,159475669,2026.09.12 05:39:59,,,,,,,,,8015,XAUUSDc,0.00,0.00,0,0.0,2
MAGIC,159475669,2026.09.12 05:39:59,,,,,,,,,8009,XAUUSDc,0.00,0.00,0,0.0,1
MAGIC,159475669,2026.09.12 05:39:59,,,,,,,,,8001,XAUUSDc,0.00,0.00,0,0.0,2
MAGIC,159475669,2026.09.12 05:39:59,,,,,,,,,8014,XAUUSDc,0.00,0.00,0,0.0,2
MAGIC,159475669,2026.09.12 05:39:59,,,,,,,,,8012,XAUUSDc,0.00,0.00,0,0.0,1
MAGIC,159475669,2026.09.12 05:39:59,,,,,,,,,8002,XAUUSDc,0.00,0.00,0,0.0,3
MAGIC,159475669,2026.09.12 05:39:59,,,,,,,,,8005,XAUUSDc,0.00,0.00,0,0.0,2
MAGIC,159475669,2026.09.12 05:39:59,,,,,,,,,8008,XAUUSDc,0.00,0.00,0,0.0,2
SYMBOL,159475669,2026.09.12 05:39:59,,,,,,,,,,CHFJPYc,-160.01,0.03,3,,
SYMBOL,159475669,2026.09.12 05:39:59,,,,,,,,,,EURUSDc,-243.40,0.29,27,,
SYMBOL,159475669,2026.09.12 05:39:59,,,,,,,,,,GBPUSDc,58.01,0.02,2,,
