row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,415573666,2026.07.29 00:37:44,USD,59971.61,59509.59,63.41,59908.20,94577.5,PERCENT,0.0,,,,,,,
MAGIC,415573666,2026.07.29 00:37:44,,,,,,,,,992001,XAUUSDm,57.70,0.01,1,35.6,0
MAGIC,415573666,2026.07.29 00:37:44,,,,,,,,,990201,USDJPYm,28.02,0.10,1,136.8,0
MAGIC,415573666,2026.07.29 00:37:44,,,,,,,,,990110,AUDJPYm,65.89,0.26,2,202.5,0
MAGIC,415573666,2026.07.29 00:37:44,,,,,,,,,990204,AUDCADm,64.34,0.13,1,219.5,0
MAGIC,415573666,2026.07.29 00:37:44,,,,,,,,,990203,EURJPYm,113.73,0.10,1,384.7,0
MAGIC,415573666,2026.07.29 00:37:44,,,,,,,,,990206,EURUSDm,34.40,0.05,1,453.6,0
MAGIC,415573666,2026.07.29 00:37:44,,,,,,,,,990205,CADJPYm,97.94,0.07,1,551.1,0
SYMBOL,415573666,2026.07.29 00:37:44,,,,,,,,,,XAUUSDm,57.70,0.01,1,,
SYMBOL,415573666,2026.07.29 00:37:44,,,,,,,,,,USDJPYm,28.02,0.10,1,,
SYMBOL,415573666,2026.07.29 00:37:44,,,,,,,,,,AUDJPYm,65.89,0.26,2,,
SYMBOL,415573666,2026.07.29 00:37:44,,,,,,,,,,AUDCADm,64.34,0.13,1,,
SYMBOL,415573666,2026.07.29 00:37:44,,,,,,,,,,EURJPYm,113.73,0.10,1,,
SYMBOL,415573666,2026.07.29 00:37:44,,,,,,,,,,EURUSDm,34.40,0.05,1,,
SYMBOL,415573666,2026.07.29 00:37:44,,,,,,,,,,CADJPYm,97.94,0.07,1,,
