row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,415573666,2026.07.31 00:36:21,USD,59436.88,59344.27,43.08,59393.80,137968.6,PERCENT,0.0,,,,,,,
MAGIC,415573666,2026.07.31 00:36:21,,,,,,,,,990203,EURJPYm,9.73,0.10,1,0.9,0
MAGIC,415573666,2026.07.31 00:36:21,,,,,,,,,990205,CADJPYm,18.58,0.10,1,7.2,0
MAGIC,415573666,2026.07.31 00:36:21,,,,,,,,,992001,XAUUSDm,-14.68,0.01,1,8.6,0
MAGIC,415573666,2026.07.31 00:36:21,,,,,,,,,990110,AUDJPYm,1.70,0.16,1,0.0,0
MAGIC,415573666,2026.07.31 00:36:21,,,,,,,,,990204,AUDCADm,77.28,0.13,1,267.5,0
SYMBOL,415573666,2026.07.31 00:36:21,,,,,,,,,,EURJPYm,9.73,0.10,1,,
SYMBOL,415573666,2026.07.31 00:36:21,,,,,,,,,,CADJPYm,18.58,0.10,1,,
SYMBOL,415573666,2026.07.31 00:36:21,,,,,,,,,,XAUUSDm,-14.68,0.01,1,,
SYMBOL,415573666,2026.07.31 00:36:21,,,,,,,,,,AUDJPYm,1.70,0.16,1,,
SYMBOL,415573666,2026.07.31 00:36:21,,,,,,,,,,AUDCADm,77.28,0.13,1,,
