row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,159475669,2026.08.03 00:36:18,USC,10005.74,10158.25,32.92,9972.82,30394.1,PERCENT,0.0,,,,,,,
MAGIC,159475669,2026.08.03 00:36:18,,,,,,,,,1524,EURUSDc,-129.20,0.11,10,131.5,0
MAGIC,159475669,2026.08.03 00:36:18,,,,,,,,,20240001,CHFJPYc,-76.02,0.03,3,466.5,0
MAGIC,159475669,2026.08.03 00:36:18,,,,,,,,,9397,GBPUSDc,52.71,0.02,2,998.6,0
MAGIC,159475669,2026.08.03 00:36:18,,,,,,,,,8014,XAUUSDc,0.00,0.00,0,0.0,1
MAGIC,159475669,2026.08.03 00:36:18,,,,,,,,,8002,XAUUSDc,0.00,0.00,0,0.0,2
MAGIC,159475669,2026.08.03 00:36:18,,,,,,,,,8008,XAUUSDc,0.00,0.00,0,0.0,2
MAGIC,159475669,2026.08.03 00:36:18,,,,,,,,,8005,XAUUSDc,0.00,0.00,0,0.0,2
SYMBOL,159475669,2026.08.03 00:36:18,,,,,,,,,,EURUSDc,-129.20,0.11,10,,
SYMBOL,159475669,2026.08.03 00:36:18,,,,,,,,,,CHFJPYc,-76.02,0.03,3,,
SYMBOL,159475669,2026.08.03 00:36:18,,,,,,,,,,GBPUSDc,52.71,0.02,2,,
