row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,463666728,2026.07.31 00:36:20,USD,99822.40,99856.35,19.56,99802.84,510339.5,PERCENT,0.0,,,,,,,
MAGIC,463666728,2026.07.31 00:36:20,,,,,,,,,990303,USDJPYm,-1.24,0.01,1,0.6,0
MAGIC,463666728,2026.07.31 00:36:20,,,,,,,,,990120,USDJPYm,-5.51,0.01,1,9.9,0
MAGIC,463666728,2026.07.31 00:36:20,,,,,,,,,999094,XAUUSDm,-34.82,0.01,1,20.6,0
MAGIC,463666728,2026.07.31 00:36:20,,,,,,,,,990103,EURUSDm,-6.78,0.01,1,29.6,0
MAGIC,463666728,2026.07.31 00:36:20,,,,,,,,,990984,GBPUSDm;EURUSDm,14.40,0.10,2,56.6,0
SYMBOL,463666728,2026.07.31 00:36:20,,,,,,,,,,USDJPYm,-6.75,0.02,2,,
SYMBOL,463666728,2026.07.31 00:36:20,,,,,,,,,,XAUUSDm,-34.82,0.01,1,,
SYMBOL,463666728,2026.07.31 00:36:20,,,,,,,,,,EURUSDm,-66.43,0.06,2,,
SYMBOL,463666728,2026.07.31 00:36:20,,,,,,,,,,GBPUSDm,74.05,0.05,1,,
