row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,141049900,2026.07.31 20:58:59,USC,11992.72,12648.52,2404.07,9588.65,498.9,PERCENT,0.0,,,,,,,
MAGIC,141049900,2026.07.31 20:58:59,,,,,,,,,1112,XAUUSDc,-5.14,0.01,1,2.8,0
MAGIC,141049900,2026.07.31 20:58:59,,,,,,,,,1115,XAUUSDc,6.82,0.01,1,3.5,0
MAGIC,141049900,2026.07.31 20:58:59,,,,,,,,,1114,XAUUSDc,-193.53,0.04,4,21.8,0
MAGIC,141049900,2026.07.31 20:58:59,,,,,,,,,7777,EURUSDc,-463.95,9.95,16,6.5,1
SYMBOL,141049900,2026.07.31 20:58:59,,,,,,,,,,XAUUSDc,-191.85,0.06,6,,
SYMBOL,141049900,2026.07.31 20:58:59,,,,,,,,,,EURUSDc,-463.95,9.95,16,,
