row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,141049900,2026.07.28 00:36:23,USC,11754.55,11799.10,20.00,11734.55,58765.6,PERCENT,0.0,,,,,,,
MAGIC,141049900,2026.07.28 00:36:23,,,,,,,,,1112,XAUUSDc,-11.65,0.02,2,4.2,0
MAGIC,141049900,2026.07.28 00:36:23,,,,,,,,,7777,EURUSDc,-32.90,0.72,5,16.7,0
SYMBOL,141049900,2026.07.28 00:36:23,,,,,,,,,,XAUUSDc,-11.65,0.02,2,,
SYMBOL,141049900,2026.07.28 00:36:23,,,,,,,,,,EURUSDc,-32.90,0.72,5,,
