row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,159475669,2026.07.28 00:36:30,USC,10227.25,10274.72,30.43,10196.82,33609.1,PERCENT,0.0,,,,,,,
MAGIC,159475669,2026.07.28 00:36:30,,,,,,,,,1524,EURUSDc,-58.69,0.11,10,280.3,0
MAGIC,159475669,2026.07.28 00:36:30,,,,,,,,,20240001,CHFJPYc,-0.31,0.04,4,322.5,0
MAGIC,159475669,2026.07.28 00:36:30,,,,,,,,,9397,GBPUSDc,11.53,0.02,2,854.6,0
MAGIC,159475669,2026.07.28 00:36:30,,,,,,,,,8002,XAUUSDc,0.00,0.00,0,0.0,3
MAGIC,159475669,2026.07.28 00:36:30,,,,,,,,,8005,XAUUSDc,0.00,0.00,0,0.0,1
MAGIC,159475669,2026.07.28 00:36:30,,,,,,,,,8008,XAUUSDc,0.00,0.00,0,0.0,1
SYMBOL,159475669,2026.07.28 00:36:30,,,,,,,,,,EURUSDc,-58.69,0.11,10,,
SYMBOL,159475669,2026.07.28 00:36:30,,,,,,,,,,CHFJPYc,-0.31,0.04,4,,
SYMBOL,159475669,2026.07.28 00:36:30,,,,,,,,,,GBPUSDc,11.53,0.02,2,,
