row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,415573666,2026.07.28 04:34:46,USD,59946.39,59522.99,63.41,59882.98,94537.8,PERCENT,0.0,,,,,,,
MAGIC,415573666,2026.07.28 04:34:46,,,,,,,,,992001,XAUUSDm,37.87,0.01,1,15.6,0
MAGIC,415573666,2026.07.28 04:34:46,,,,,,,,,990201,USDJPYm,26.19,0.10,1,116.8,0
MAGIC,415573666,2026.07.28 04:34:46,,,,,,,,,990110,AUDJPYm,58.60,0.26,2,182.5,0
MAGIC,415573666,2026.07.28 04:34:46,,,,,,,,,990204,AUDCADm,71.73,0.13,1,199.5,0
MAGIC,415573666,2026.07.28 04:34:46,,,,,,,,,990203,EURJPYm,93.73,0.10,1,364.6,0
MAGIC,415573666,2026.07.28 04:34:46,,,,,,,,,990206,EURUSDm,43.30,0.05,1,433.6,0
MAGIC,415573666,2026.07.28 04:34:46,,,,,,,,,990205,CADJPYm,91.98,0.07,1,531.1,0
SYMBOL,415573666,2026.07.28 04:34:46,,,,,,,,,,XAUUSDm,37.87,0.01,1,,
SYMBOL,415573666,2026.07.28 04:34:46,,,,,,,,,,USDJPYm,26.19,0.10,1,,
SYMBOL,415573666,2026.07.28 04:34:46,,,,,,,,,,AUDJPYm,58.60,0.26,2,,
SYMBOL,415573666,2026.07.28 04:34:46,,,,,,,,,,AUDCADm,71.73,0.13,1,,
SYMBOL,415573666,2026.07.28 04:34:46,,,,,,,,,,EURJPYm,93.73,0.10,1,,
SYMBOL,415573666,2026.07.28 04:34:46,,,,,,,,,,EURUSDm,43.30,0.05,1,,
SYMBOL,415573666,2026.07.28 04:34:46,,,,,,,,,,CADJPYm,91.98,0.07,1,,
