row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,415573666,2026.07.29 22:57:30,USD,59677.05,59505.00,51.54,59625.51,115787.8,PERCENT,0.0,,,,,,,
MAGIC,415573666,2026.07.29 22:57:30,,,,,,,,,992001,XAUUSDm,-44.64,0.01,1,3.0,0
MAGIC,415573666,2026.07.29 22:57:30,,,,,,,,,990201,USDJPYm,3.12,0.10,1,159.2,0
MAGIC,415573666,2026.07.29 22:57:30,,,,,,,,,990110,AUDJPYm,-5.91,0.14,1,217.0,0
MAGIC,415573666,2026.07.29 22:57:30,,,,,,,,,990204,AUDCADm,2.04,0.13,1,241.8,0
MAGIC,415573666,2026.07.29 22:57:30,,,,,,,,,990203,EURJPYm,117.00,0.07,1,407.0,0
MAGIC,415573666,2026.07.29 22:57:30,,,,,,,,,990206,EURUSDm,-6.70,0.05,1,476.0,0
MAGIC,415573666,2026.07.29 22:57:30,,,,,,,,,990205,CADJPYm,107.14,0.07,1,573.5,0
SYMBOL,415573666,2026.07.29 22:57:30,,,,,,,,,,XAUUSDm,-44.64,0.01,1,,
SYMBOL,415573666,2026.07.29 22:57:30,,,,,,,,,,USDJPYm,3.12,0.10,1,,
SYMBOL,415573666,2026.07.29 22:57:30,,,,,,,,,,AUDJPYm,-5.91,0.14,1,,
SYMBOL,415573666,2026.07.29 22:57:30,,,,,,,,,,AUDCADm,2.04,0.13,1,,
SYMBOL,415573666,2026.07.29 22:57:30,,,,,,,,,,EURJPYm,117.00,0.07,1,,
SYMBOL,415573666,2026.07.29 22:57:30,,,,,,,,,,EURUSDm,-6.70,0.05,1,,
SYMBOL,415573666,2026.07.29 22:57:30,,,,,,,,,,CADJPYm,107.14,0.07,1,,
