row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,159475669,2026.07.27 04:23:06,USC,10266.12,10270.92,21.29,10244.83,48220.4,PERCENT,0.0,,,,,,,
MAGIC,159475669,2026.07.27 04:23:06,,,,,,,,,1524,EURUSDc,-28.17,0.13,11,260.1,0
MAGIC,159475669,2026.07.27 04:23:06,,,,,,,,,20240001,CHFJPYc,-0.30,0.04,4,302.3,0
MAGIC,159475669,2026.07.27 04:23:06,,,,,,,,,9397,GBPUSDc,23.67,0.02,2,834.4,0
MAGIC,159475669,2026.07.27 04:23:06,,,,,,,,,8002,XAUUSDc,0.00,0.00,0,0.0,3
MAGIC,159475669,2026.07.27 04:23:06,,,,,,,,,8005,XAUUSDc,0.00,0.00,0,0.0,1
MAGIC,159475669,2026.07.27 04:23:06,,,,,,,,,8008,XAUUSDc,0.00,0.00,0,0.0,1
SYMBOL,159475669,2026.07.27 04:23:06,,,,,,,,,,EURUSDc,-28.17,0.13,11,,
SYMBOL,159475669,2026.07.27 04:23:06,,,,,,,,,,CHFJPYc,-0.30,0.04,4,,
SYMBOL,159475669,2026.07.27 04:23:06,,,,,,,,,,GBPUSDc,23.67,0.02,2,,
