ticket,open_time,close_time,symbol,magic,type,lots,open_price,close_price,profit,swap,commission,comment
363477455,2026.07.30 23:13:27,2026.08.03 20:33:16,XAUUSDc,1114,0,0.01,4107.26000,4057.76500,-49.49,0.00,0.00,Gk
363600644,2026.07.31 14:31:29,2026.08.03 01:13:05,EURUSDc,7777,0,0.06,1.14823,1.15458,38.10,0.00,0.00,partial close
363600645,2026.07.31 14:50:27,2026.08.03 01:13:06,EURUSDc,7777,1,0.06,1.14911,1.15374,-27.78,0.00,0.00,ZGH
363605200,2026.07.31 15:03:34,2026.08.03 01:13:06,EURUSDc,7777,1,0.16,1.14972,1.15374,-64.32,0.00,0.00,ZGH
363608544,2026.07.31 15:09:52,2026.08.03 01:13:06,EURUSDc,7777,1,0.28,1.15003,1.15374,-103.88,0.00,0.00,ZGH
363609064,2026.07.31 15:15:32,2026.08.03 01:13:05,EURUSDc,7777,0,0.16,1.15077,1.15458,60.96,0.00,0.00,partial close
363609873,2026.07.31 15:15:57,2026.08.03 01:13:06,EURUSDc,7777,1,0.40,1.15035,1.15371,-134.40,0.00,0.00,ZGH
363610831,2026.07.31 15:38:38,2026.08.03 01:13:05,EURUSDc,7777,0,0.28,1.15107,1.15458,98.28,0.00,0.00,partial close
363612468,2026.07.31 15:40:37,2026.08.03 00:56:19,EURUSDc,7777,1,0.55,1.15065,1.15417,-193.60,0.00,0.00,ZGH
363613459,2026.07.31 16:22:56,2026.08.03 00:56:19,EURUSDc,7777,1,0.72,1.15126,1.15417,-209.52,0.00,0.00,ZGH
363616426,2026.07.31 17:03:32,2026.08.03 01:13:05,EURUSDc,7777,0,0.40,1.15198,1.15458,104.00,0.00,0.00,partial close
363618699,2026.07.31 17:48:04,2026.08.03 01:13:06,EURUSDc,7777,1,0.93,1.15288,1.15371,-77.19,0.00,0.00,ZGH
363621753,2026.07.31 17:29:07,2026.08.03 01:00:17,XAUUSDc,1115,1,0.01,4050.89100,4052.84700,-1.96,0.00,0.00,Gk
363626292,2026.07.31 17:52:05,2026.08.03 01:13:05,EURUSDc,7777,0,0.47,1.15358,1.15482,58.28,0.00,0.00,partial close
363627199,2026.07.31 18:00:09,2026.08.03 01:13:06,EURUSDc,7777,1,1.19,1.15318,1.15371,-63.07,0.00,0.00,ZGH
363629661,2026.07.31 18:11:09,2026.08.02 22:01:31,XAUUSDc,1112,0,0.01,4048.94700,4072.69500,23.75,0.00,0.00,Gk
363637467,2026.07.31 20:22:34,2026.08.03 01:13:06,EURUSDc,7777,1,1.53,1.15346,1.15371,-38.25,0.00,0.00,ZGH
363637481,2026.07.31 20:45:32,2026.08.03 01:13:05,EURUSDc,7777,0,0.72,1.15417,1.15482,46.80,0.00,0.00,partial close
363640875,2026.07.31 20:53:00,2026.08.03 01:13:06,EURUSDc,7777,1,1.96,1.15410,1.15371,76.44,0.00,0.00,ZGH
363641948,2026.08.02 21:05:04,2026.08.03 01:13:04,EURUSDc,7777,0,0.93,1.15476,1.15482,5.58,0.00,0.00,partial close
363646324,2026.08.01 04:13:06,2026.08.01 04:13:06,,0,6,0.01,0.00000,0.00000,13.00,0.00,0.00,D-INTARB-USC-INT-954852663298
363649516,2026.08.02 22:43:16,2026.08.03 01:13:05,EURUSDc,7777,1,0.00,1.15458,1.15458,0.00,0.00,0.00,close hedge by #363683347
363655909,2026.08.03 00:41:06,2026.08.03 01:13:04,EURUSDc,7777,0,1.19,1.15537,1.15482,-65.45,0.00,0.00,partial close
363658086,2026.08.02 23:19:37,2026.08.03 01:00:17,XAUUSDc,1115,1,0.01,4071.23400,4053.15300,18.08,0.00,0.00,Gk
363665358,2026.08.03 00:26:48,2026.08.03 04:48:57,XAUUSDc,1112,0,0.01,4063.31300,4071.16600,7.86,0.00,0.00,Gk
363669430,2026.08.03 00:37:39,2026.08.03 01:13:04,EURUSDc,7777,1,0.00,1.15482,1.15482,0.00,0.00,0.00,close hedge by #363655909
363671847,2026.08.03 00:41:06,2026.08.03 01:13:05,EURUSDc,7777,4,1.53,1.15599,1.15371,0.00,0.00,0.00,cancelled
363672154,2026.08.03 00:42:59,2026.08.03 00:56:19,EURUSDc,7777,1,4.36,1.15512,1.15417,414.20,0.00,0.00,ZGH
363683342,2026.08.03 00:37:39,2026.08.03 01:13:04,EURUSDc,7777,1,0.00,1.15482,1.15482,0.00,0.00,0.00,close hedge by #363641948
363683345,2026.08.03 00:37:39,2026.08.03 01:13:05,EURUSDc,7777,1,0.00,1.15482,1.15482,0.00,0.00,0.00,close hedge by #363637481
363683346,2026.08.03 00:37:39,2026.08.03 01:13:05,EURUSDc,7777,1,0.00,1.15482,1.15482,0.00,0.00,0.00,close hedge by #363626292
363683347,2026.07.31 17:52:05,2026.08.03 01:13:05,EURUSDc,7777,0,0.08,1.15358,1.15458,8.00,0.00,0.00,partial close
363683348,2026.08.02 22:43:16,2026.08.03 01:13:05,EURUSDc,7777,1,0.00,1.15458,1.15458,0.00,0.00,0.00,close hedge by #363616426
363683350,2026.08.02 22:43:16,2026.08.03 01:13:05,EURUSDc,7777,1,0.00,1.15458,1.15458,0.00,0.00,0.00,close hedge by #363610831
363683352,2026.08.02 22:43:16,2026.08.03 01:13:05,EURUSDc,7777,1,0.00,1.15458,1.15458,0.00,0.00,0.00,close hedge by #363609064
363683353,2026.08.02 22:43:16,2026.08.03 01:13:05,EURUSDc,7777,1,0.00,1.15458,1.15458,0.00,0.00,0.00,close hedge by #363600644
363683354,2026.08.02 22:43:16,2026.08.03 01:13:05,EURUSDc,7777,1,1.56,1.15458,1.15371,135.72,0.00,0.00,from #363600644
363726772,2026.08.03 06:23:24,2026.08.03 06:34:35,XAUUSDc,1113,1,0.01,4070.77200,4062.14600,8.62,0.00,0.00,Gk
363736044,2026.08.03 07:17:28,2026.08.03 12:00:05,XAUUSDc,1112,0,0.01,4055.63000,4064.19000,8.56,0.00,0.00,Gk
363769753,2026.08.03 11:41:57,2026.08.03 12:40:18,XAUUSDc,1115,1,0.01,4053.22200,4045.42300,7.80,0.00,0.00,Gk
363781317,2026.08.03 12:41:37,2026.08.03 13:00:05,XAUUSDc,1112,0,0.01,4043.06000,4050.82700,7.77,0.00,0.00,Gk
363784642,2026.08.03 13:00:12,2026.08.03 13:02:05,XAUUSDc,1115,1,0.01,4053.08500,4045.07100,8.02,0.00,0.00,Gk
363792073,2026.08.03 13:25:34,2026.08.03 20:33:15,XAUUSDc,1114,0,0.02,4032.60000,4058.12600,51.05,0.00,0.00,
363844842,2026.08.03 22:06:19,2026.08.04 00:01:05,XAUUSDc,1112,0,0.01,4049.47300,4057.63700,8.17,0.00,0.00,Gk
