row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,415573666,2026.08.11 00:36:29,USD,59695.16,59228.68,76.71,59618.45,77819.3,PERCENT,0.0,,,,,,,
MAGIC,415573666,2026.08.11 00:36:29,,,,,,,,,990207,XAUUSDm,80.53,0.04,1,5.1,0
MAGIC,415573666,2026.08.11 00:36:29,,,,,,,,,990208,GBPJPYm,-7.79,0.10,1,5.7,0
MAGIC,415573666,2026.08.11 00:36:29,,,,,,,,,992004,XAUUSDm,67.00,0.01,1,9.6,0
MAGIC,415573666,2026.08.11 00:36:29,,,,,,,,,990205,CADJPYm,27.45,0.10,1,15.8,0
MAGIC,415573666,2026.08.11 00:36:29,,,,,,,,,990203,EURJPYm,31.66,0.10,1,16.3,0
MAGIC,415573666,2026.08.11 00:36:29,,,,,,,,,990110,AUDJPYm,75.19,0.16,1,26.6,0
MAGIC,415573666,2026.08.11 00:36:29,,,,,,,,,992001,XAUUSDm,145.07,0.01,1,106.6,0
MAGIC,415573666,2026.08.11 00:36:29,,,,,,,,,990204,AUDCADm,47.37,0.10,1,531.5,0
SYMBOL,415573666,2026.08.11 00:36:29,,,,,,,,,,XAUUSDm,292.60,0.06,3,,
SYMBOL,415573666,2026.08.11 00:36:29,,,,,,,,,,GBPJPYm,-7.79,0.10,1,,
SYMBOL,415573666,2026.08.11 00:36:29,,,,,,,,,,CADJPYm,27.45,0.10,1,,
SYMBOL,415573666,2026.08.11 00:36:29,,,,,,,,,,EURJPYm,31.66,0.10,1,,
SYMBOL,415573666,2026.08.11 00:36:29,,,,,,,,,,AUDJPYm,75.19,0.16,1,,
SYMBOL,415573666,2026.08.11 00:36:29,,,,,,,,,,AUDCADm,47.37,0.10,1,,
