row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,159475669,2026.08.02 00:36:22,USC,10031.15,10158.25,34.33,9996.82,29219.8,PERCENT,0.0,,,,,,,
MAGIC,159475669,2026.08.02 00:36:22,,,,,,,,,20240001,CHFJPYc,-67.27,0.03,3,442.5,0
MAGIC,159475669,2026.08.02 00:36:22,,,,,,,,,1524,EURUSDc,-108.92,0.10,9,107.5,0
MAGIC,159475669,2026.08.02 00:36:22,,,,,,,,,9397,GBPUSDc,49.09,0.02,2,974.6,0
MAGIC,159475669,2026.08.02 00:36:22,,,,,,,,,8012,XAUUSDc,0.00,0.00,0,0.0,2
MAGIC,159475669,2026.08.02 00:36:22,,,,,,,,,8009,XAUUSDc,0.00,0.00,0,0.0,2
MAGIC,159475669,2026.08.02 00:36:22,,,,,,,,,8014,XAUUSDc,0.00,0.00,0,0.0,3
MAGIC,159475669,2026.08.02 00:36:22,,,,,,,,,8015,XAUUSDc,0.00,0.00,0,0.0,3
MAGIC,159475669,2026.08.02 00:36:22,,,,,,,,,8001,XAUUSDc,0.00,0.00,0,0.0,2
MAGIC,159475669,2026.08.02 00:36:22,,,,,,,,,8002,XAUUSDc,0.00,0.00,0,0.0,3
MAGIC,159475669,2026.08.02 00:36:22,,,,,,,,,8008,XAUUSDc,0.00,0.00,0,0.0,2
MAGIC,159475669,2026.08.02 00:36:22,,,,,,,,,8005,XAUUSDc,0.00,0.00,0,0.0,2
SYMBOL,159475669,2026.08.02 00:36:22,,,,,,,,,,CHFJPYc,-67.27,0.03,3,,
SYMBOL,159475669,2026.08.02 00:36:22,,,,,,,,,,EURUSDc,-108.92,0.10,9,,
SYMBOL,159475669,2026.08.02 00:36:22,,,,,,,,,,GBPUSDc,49.09,0.02,2,,
