row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,463666728,2026.08.04 00:36:24,USD,99750.95,99813.33,48.66,99702.29,204995.8,PERCENT,0.0,,,,,,,
MAGIC,463666728,2026.08.04 00:36:24,,,,,,,,,990069,XAUUSDm,-59.82,0.10,1,0.6,0
MAGIC,463666728,2026.08.04 00:36:24,,,,,,,,,991070,EURUSDm,-0.17,0.01,1,5.6,0
MAGIC,463666728,2026.08.04 00:36:24,,,,,,,,,992017,XAUUSDm,4.42,0.01,1,19.6,0
MAGIC,463666728,2026.08.04 00:36:24,,,,,,,,,999094,XAUUSDm,-0.68,0.01,1,116.6,0
MAGIC,463666728,2026.08.04 00:36:24,,,,,,,,,990103,EURUSDm,-6.13,0.01,1,125.6,0
SYMBOL,463666728,2026.08.04 00:36:24,,,,,,,,,,XAUUSDm,-56.08,0.12,3,,
SYMBOL,463666728,2026.08.04 00:36:24,,,,,,,,,,EURUSDm,-6.30,0.02,2,,
