row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,415573666,2026.08.10 11:12:40,USD,59387.29,59181.72,41.29,59346.00,143829.7,PERCENT,0.0,,,,,,,
MAGIC,415573666,2026.08.10 11:12:40,,,,,,,,,990205,CADJPYm,8.69,0.10,1,2.4,0
MAGIC,415573666,2026.08.10 11:12:40,,,,,,,,,990203,EURJPYm,12.28,0.10,1,3.0,0
MAGIC,415573666,2026.08.10 11:12:40,,,,,,,,,990110,AUDJPYm,61.65,0.16,1,13.2,0
MAGIC,415573666,2026.08.10 11:12:40,,,,,,,,,992001,XAUUSDm,65.20,0.01,1,93.2,0
MAGIC,415573666,2026.08.10 11:12:40,,,,,,,,,990204,AUDCADm,57.75,0.10,1,518.1,0
MAGIC,415573666,2026.08.10 11:12:40,,,,,,,,,992003,XAUUSDm,0.00,0.00,0,0.0,1
SYMBOL,415573666,2026.08.10 11:12:40,,,,,,,,,,CADJPYm,8.69,0.10,1,,
SYMBOL,415573666,2026.08.10 11:12:40,,,,,,,,,,EURJPYm,12.28,0.10,1,,
SYMBOL,415573666,2026.08.10 11:12:40,,,,,,,,,,AUDJPYm,61.65,0.16,1,,
SYMBOL,415573666,2026.08.10 11:12:40,,,,,,,,,,XAUUSDm,65.20,0.01,1,,
SYMBOL,415573666,2026.08.10 11:12:40,,,,,,,,,,AUDCADm,57.75,0.10,1,,
