ticket,time,symbol,magic,type,entry,volume,price,profit,swap,commission,comment
3300297579,2026.06.01 10:48:23,,0,2,0,0.00,0.00000,10000.00,0.00,0.00,D-ALLINT-USC-INT-800961368069
3335848552,2026.06.06 05:33:01,,0,5,0,0.00,0.00000,0.00,0.00,0.00,Archived deals
3421779471,2026.06.21 21:20:00,CHFJPYc,20240001,0,0,0.01,199.80400,0.00,0.00,0.00,Matcha Grid BUY #1
3421779473,2026.06.21 21:20:00,CHFJPYc,20240001,1,0,0.01,199.62100,0.00,0.00,0.00,Matcha Grid SELL #1
3422745975,2026.06.22 01:04:58,CHFJPYc,20240001,1,0,0.01,199.97100,0.00,0.00,0.00,Matcha Grid SELL #2
3423258609,2026.06.22 02:16:55,EURUSDc,1524,0,0,0.02,1.14610,0.00,0.00,0.00,Dynamic RSI + ADX Style
3423821805,2026.06.22 03:57:55,EURUSDc,1524,0,0,0.01,1.14552,0.00,0.00,0.00,Dynamic RSI + ADX Style
3424909549,2026.06.22 07:30:41,EURUSDc,1524,0,0,0.01,1.14492,0.00,0.00,0.00,Dynamic RSI + ADX Style
3425426234,2026.06.22 09:04:49,CHFJPYc,20240001,1,0,0.01,200.32400,0.00,0.00,0.00,Matcha Grid SELL #3
3425730108,2026.06.22 10:00:00,GBPUSDc,9397,0,0,0.01,1.32296,0.00,0.00,0.00,
3425753191,2026.06.22 10:09:01,GBPUSDc,9397,0,0,0.01,1.32399,0.00,0.00,0.00,
3425909431,2026.06.22 10:41:59,GBPUSDc,939721,0,0,0.10,1.32384,0.00,0.00,0.00,
3426261290,2026.06.22 12:00:00,EURUSDc,990005,1,0,0.01,1.14483,0.00,0.00,0.00,CONSOB_SELL
3426373615,2026.06.22 12:24:24,GBPUSDc,939721,1,1,0.10,1.32587,20.30,0.00,0.00,
3426602049,2026.06.22 13:01:43,EURUSDc,1524,0,0,0.01,1.14378,0.00,0.00,0.00,Dynamic RSI + ADX Style
3427230758,2026.06.22 14:08:44,CHFJPYc,20240001,0,0,0.01,199.45500,0.00,0.00,0.00,Matcha Grid BUY #2
3428500383,2026.06.22 18:00:00,EURUSDc,990005,0,1,0.01,1.14296,1.87,0.00,0.00,
3428817060,2026.06.22 22:39:05,EURUSDc,1524,0,0,0.01,1.14265,0.00,0.00,0.00,Dynamic RSI + ADX Style
3430218944,2026.06.23 03:16:40,EURUSDc,1524,0,0,0.01,1.14214,0.00,0.00,0.00,Dynamic RSI + ADX Style
