row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,463666728,2026.09.04 20:58:58,USD,99982.53,99984.85,37.87,99944.66,264015.1,PERCENT,0.0,,,,,,,
MAGIC,463666728,2026.09.04 20:58:58,,,,,,,,,990302,XAGUSDm,-4.15,0.01,1,5.0,0
MAGIC,463666728,2026.09.04 20:58:58,,,,,,,,,990066,USDJPYm,6.85,0.10,1,17.0,0
MAGIC,463666728,2026.09.04 20:58:58,,,,,,,,,990120,USDJPYm,-1.08,0.01,1,33.0,0
MAGIC,463666728,2026.09.04 20:58:58,,,,,,,,,990020,XAUUSDm,-1.31,0.01,1,41.0,0
MAGIC,463666728,2026.09.04 20:58:58,,,,,,,,,990984,GBPUSDm;EURUSDm,-4.15,0.10,2,53.0,0
MAGIC,463666728,2026.09.04 20:58:58,,,,,,,,,990103,EURUSDm,1.52,0.01,1,173.0,0
SYMBOL,463666728,2026.09.04 20:58:58,,,,,,,,,,XAGUSDm,-4.15,0.01,1,,
SYMBOL,463666728,2026.09.04 20:58:58,,,,,,,,,,USDJPYm,5.77,0.11,2,,
SYMBOL,463666728,2026.09.04 20:58:58,,,,,,,,,,XAUUSDm,-1.31,0.01,1,,
SYMBOL,463666728,2026.09.04 20:58:58,,,,,,,,,,GBPUSDm,7.25,0.05,1,,
SYMBOL,463666728,2026.09.04 20:58:58,,,,,,,,,,EURUSDm,-9.88,0.06,2,,
