row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,463666728,2026.07.31 20:58:59,USD,99877.91,99868.97,18.29,99859.62,546079.3,PERCENT,0.0,,,,,,,
MAGIC,463666728,2026.07.31 20:58:59,,,,,,,,,990120,USDJPYm,6.45,0.01,1,3.0,0
MAGIC,463666728,2026.07.31 20:58:59,,,,,,,,,990301,XAUUSDm,-0.75,0.01,1,4.0,0
MAGIC,463666728,2026.07.31 20:58:59,,,,,,,,,992017,XAUUSDm,-3.30,0.01,1,8.0,0
MAGIC,463666728,2026.07.31 20:58:59,,,,,,,,,999094,XAUUSDm,14.68,0.01,1,41.0,0
MAGIC,463666728,2026.07.31 20:58:59,,,,,,,,,990103,EURUSDm,-8.14,0.01,1,50.0,0
SYMBOL,463666728,2026.07.31 20:58:59,,,,,,,,,,USDJPYm,6.45,0.01,1,,
SYMBOL,463666728,2026.07.31 20:58:59,,,,,,,,,,XAUUSDm,10.63,0.03,3,,
SYMBOL,463666728,2026.07.31 20:58:59,,,,,,,,,,EURUSDm,-8.14,0.01,1,,
