"ea","net","pf","trades","eqdd"
"Boss_11_GridTrend","-336.27","0.90","480","629.38(6.12%)"
"Boss_12_Breakout","-143.41","0.87","164","255.37(2.55%)"
"Boss_13_MeanRev","20.44","1.01","209","301.05(2.98%)"
"Boss_14_GridLog","589.13","16.61","84","153.50(1.50%)"
"Boss_15_ST03","-132.04","0.86","136","287.90(2.87%)"
"Boss_16_KangarooGrid","510.01","3.45","73","424.64(4.11%)"
"Boss_17_Wave5","-83.85","0.47","26","100.73(1.01%)"
"Boss_18_JumStoch","454.03","1.26","298","198.80(1.91%)"
