"ea","net","pf","trades","eqdd"
"Boss_11_GridTrend","607.98","1.43","168","305.11(2.86%)"
"Boss_12_Breakout","-140.81","0.88","164","255.19(2.54%)"
"Boss_13_MeanRev","-885.51","0.91","107","3040.40(25.01%)"
"Boss_14_GridLog","589.82","16.72","56","153.50(1.50%)"
"Boss_15_ST03","-39.62","0.86","216","64.49(0.64%)"
"Boss_16_KangarooGrid","507.72","3.44","73","421.04(4.07%)"
