schema_version,created_utc,view_type,window,year,entry_month,symbol,tf,session_state,eligible_unit_count,participation_share,gross_profit,gross_loss,net_realized,profit_factor,winning_unit_count,losing_unit_count,zero_unit_count,partition_realized_equity_dd
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,H1,LONDON_NY_OVERLAP,6,0.18750000,68.95,0.00,68.95,,6,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,H1,NEW_YORK_ONLY,4,0.12500000,39.71,0.00,39.71,,4,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,H1,OUTSIDE_DEFINED_SESSION,4,0.12500000,35.50,0.00,35.50,,4,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,H4,ASIA,5,0.19230769,64.57,108.90,-44.33,0.592929,4,1,0,108.90
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,H4,LONDON,14,0.53846154,173.58,0.00,173.58,,14,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,H4,LONDON_NY_OVERLAP,2,0.07692308,33.98,0.00,33.98,,2,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,H4,NEW_YORK_ONLY,4,0.15384615,44.91,221.88,-176.97,0.202407,3,1,0,221.88
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,H4,OUTSIDE_DEFINED_SESSION,1,0.03846154,0.00,106.87,-106.87,0.000000,0,1,0,106.87
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,M15,ASIA,5,0.25000000,55.27,111.87,-56.60,0.494056,4,1,0,111.87
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,M15,LONDON,7,0.35000000,91.73,0.00,91.73,,7,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,M15,LONDON_NY_OVERLAP,3,0.15000000,51.86,0.00,51.86,,3,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,M15,NEW_YORK_ONLY,4,0.20000000,60.84,0.00,60.84,,4,0,0,0.00
