"ea","symbol","path"
"2020v2","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\2020v2.ex4"
"212-SEMIS.jrAUDCAD","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\212-SEMIS.jrAUDCAD.ex4"
"213-SEMIS.jrCHFJPY","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\213-SEMIS.jrCHFJPY.ex4"
"214-SEMIS.jrGBPJPY","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\214-SEMIS.jrGBPJPY.ex4"
"215-SEMIS.jrUSDJPY","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\215-SEMIS.jrUSDJPY.ex4"
