"ea","symbol","path"
"AF-Global Expert Unlimited","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\AF-Global Expert Unlimited.ex4"
"AF-Global Expert Unlimited","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\AF-Global Expert Unlimited.ex4"
"Automated Forex Grail","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\Automated Forex Grail.ex4"
"Automated Forex Grail","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\Automated Forex Grail.ex4"
"BB SWING","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\BB SWING.ex4"
