"ea","symbol","path"
"Dark Mimas","EURUSD","wait for test\test 3\Dark\Dark Mimas.ex4"
"Dark Mimas","USDJPY","wait for test\test 3\Dark\Dark Mimas.ex4"
"Dark Venus","EURUSD","wait for test\test 3\Dark\Dark Venus.ex4"
"Dark Venus","USDJPY","wait for test\test 3\Dark\Dark Venus.ex4"
"RSI from pips_EA","EURUSD","wait for test\RSI from pips_EA.ex4"
"Yetti3_Mod2_newsWorking","EURUSD","wait for test\test 3\Yetti\Yetti3_Mod2_newsWorking.ex4"
"Yetti3_Mod2_newsWorking","USDJPY","wait for test\test 3\Yetti\Yetti3_Mod2_newsWorking.ex4"
