window,model,real_ticks,PF,Net,Trades,EqDD_1x_pct,EqDD_12x_est_pct,note
CHF2015,M1,no,656.20,32.76,65,0.20,2.4,GBPUSD barely affected by SNB unpeg; profitable
COVID2020,M4,yes,0.40,-48.64,94,0.98,11.8,real-tick; loses but DD controlled at 1x
GILT2022,M4,yes,0.39,-82.06,157,1.18,14.04,real-tick; 12x DD confirmed 14.04% margin 3155%
BREXIT2016,M1,no,0.29,-217.74,83,3.51,42.1,WORST; M1 understates real tail (no ticks pre-2020)
