"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"13","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS1","1.08","33","2.15","0.12","48.48","1.08","OK"
"13","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","0.89","90","-11.52","0.36","44.44","-1.81","OK"
"14","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","1.60","66","33.31","0.15","65.15","8.92","OK"
"14","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS1","1.17","33","4.60","0.12","54.55","2.21","OK"
"14","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","0.85","90","-16.80","0.38","46.67","-2.40","OK"
"15","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult1.5","IS","1.73","66","38.05","0.14","53.03","9.80","OK"
"15","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult1.5","OOS1","0.91","33","-2.60","0.13","36.36","-1.31","OK"
"15","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult1.5","OOS2","0.81","90","-19.74","0.37","35.56","-2.95","OK"
"16","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","1.76","66","42.16","0.13","57.58","9.37","OK"
"16","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS1","1.17","33","4.66","0.12","48.48","1.94","OK"
"16","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","0.84","90","-18.37","0.40","40.00","-2.40","OK"
"17","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","1.53","66","33.61","0.15","57.58","7.25","OK"
"17","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS1","1.20","33","5.48","0.12","54.55","2.16","OK"
"17","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","0.80","90","-24.42","0.43","42.22","-2.94","OK"
"18","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult1.5","IS","2.05","66","54.63","0.14","53.03","12.22","OK"
"18","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult1.5","OOS1","0.97","33","-0.81","0.13","36.36","-0.41","OK"
"18","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult1.5","OOS2","0.80","90","-21.17","0.43","34.44","-2.92","OK"
"19","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","2.09","66","60.29","0.13","57.58","11.58","OK"
"19","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS1","1.24","33","6.45","0.12","48.48","2.67","OK"
"19","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","0.84","90","-19.01","0.46","38.89","-2.30","OK"
"20","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","1.81","66","51.74","0.15","57.58","9.69","OK"
"20","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS1","1.27","33","7.27","0.12","54.55","2.85","OK"
"20","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","0.79","90","-25.73","0.49","41.11","-2.88","OK"
"21","TpAtrMult5.0_ConsoAtrMult1.5_SlAtrMult1.5","IS","2.22","66","63.75","0.14","53.03","13.47","OK"
"21","TpAtrMult5.0_ConsoAtrMult1.5_SlAtrMult1.5","OOS1","0.94","33","-1.79","0.13","36.36","-0.85","OK"
"21","TpAtrMult5.0_ConsoAtrMult1.5_SlAtrMult1.5","OOS2","0.79","90","-22.85","0.42","34.44","-3.07","OK"
"22","TpAtrMult5.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","2.24","66","68.48","0.13","57.58","12.52","OK"
"22","TpAtrMult5.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS1","1.20","33","5.47","0.12","48.48","2.16","OK"
"22","TpAtrMult5.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","0.84","90","-19.11","0.45","38.89","-2.25","OK"
"23","TpAtrMult5.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","1.94","66","59.93","0.15","57.58","10.69","OK"
