label,symbol,model,PF,net,eqDDpct,trades,winpct,maxLoss,recovery,sharpe,report
AUDNZD_UP_M4,AUDNZD,4,0.61,-1386.05,38.7,116.0,77.59,-631.27,-0.31,-0.21,AGP8_AUDNZD_UP_M4
AUDNZD_DN_M4,AUDNZD,4,0.75,-914.75,22.44,158.0,81.01,-595.14,-0.35,-0.27,AGP8_AUDNZD_DN_M4
AUDNZD_FULL_M4,AUDNZD,4,,,,,,,,,AGP8_AUDNZD_FULL_M4
AUDCAD_UP,AUDCAD,2,0.78,-862.94,28.25,135.0,75.56,-777.44,-0.28,-0.14,AGP8_AUDCAD_UP
AUDCAD_DN,AUDCAD,2,0.22,-6169.09,63.9,101.0,69.31,-661.8,-0.92,-0.89,AGP8_AUDCAD_DN
NZDCAD_UP,NZDCAD,2,3.19,3296.08,12.15,219.0,79.91,-131.32,2.11,0.47,AGP8_NZDCAD_UP
NZDCAD_DN,NZDCAD,2,1.03,74.35,17.61,147.0,79.59,-531.64,0.03,0.01,AGP8_NZDCAD_DN
EURCHF_UP,EURCHF,2,0.72,-967.34,25.68,60.0,75.0,-612.9,-0.31,-0.1,AGP8_EURCHF_UP
EURCHF_DN,EURCHF,2,5.01,3430.77,25.04,104.0,82.69,-213.58,1.29,0.35,AGP8_EURCHF_DN
