window,year,trades,pf,net,balance_dd_pct
MAIN,2023,108,4.204446,80.72,0.249609
MAIN,2024,87,4.388535,63.84,0.186280
MAIN,2025,95,1.585280,28.31,0.475594
BWD,2020,91,0.667084,-29.24,0.631132
BWD,2021,79,4.140426,29.52,0.314916
BWD,2022,90,1.628746,32.94,0.520242
