"ea","symbol","full_pf","full_trades","full_net","full_dd_pct","note"
"Happy thaipop","EURUSD",1.25,430.0,2469.64,73.23,
"CommunityPower 2.58.3","EURUSD",1.91,1212.0,40573.15,74.1,
"DanceT","EURUSD",0.09,486.0,-10292.74,102.83,
"Flexy The Dragon v2.8","EURUSD",0.46,1448.0,-8747.57,89.2,
"1 MINUTE SCALPER","USDJPY",,0.0,0.0,0.0,
"12431_Happy Fast Money v1.3","EURUSD",0.24,485.0,-9890.05,99.07,
