"ea","symbol","full_pf","full_trades","full_net","full_dd_pct","note"
"RSI from pips_EA","EURUSD",2.07,1616.0,3103.19,24.96,MODEL0-BWD
"RSI from pips_EA","EURUSD",2.39,163.0,284.45,2.2,MODEL0-FWD
