"tag","window","pf","net","trades","dd_pct","win_pct"
"ESCALATED_LOG5","MAIN",1.37,792.52,280,8.07,67.86
"ESCALATED_LOG5","BWD",1.37,793.08,267,5.35,62.55
"FLATLOT","MAIN",1.33,316.85,163,1.57,62.58
"FLATLOT","BWD",0.82,-263.99,159,4.12,59.12
