"ea","symbol","full_pf","full_trades","full_net","full_dd_pct","note"
"2020v2","EURUSD",2.26,314.0,600.83,6.27,
"212-SEMIS.jrAUDCAD","EURUSD",0.65,4190.0,-9907.15,99.26,
"213-SEMIS.jrCHFJPY","EURUSD",0.56,3962.0,-9592.75,96.53,
"214-SEMIS.jrGBPJPY","EURUSD",0.05,676.0,-9909.76,99.11,
"215-SEMIS.jrUSDJPY","EURUSD",0.16,678.0,-9774.68,97.86,
