time,profit
2020.01.03 10:00:58,13.62
2020.01.06 01:05:00,30.66
2020.01.06 01:33:50,-5.98
2020.01.08 04:03:37,-7.95
2020.01.13 03:04:56,-5.98
2020.01.16 07:54:18,-6.71
2020.01.17 22:55:47,-4.10
2020.01.24 03:21:38,-5.04
2020.01.24 22:02:29,-5.41
2020.01.28 14:14:55,-6.97
2020.01.30 16:35:21,-4.84
2020.01.30 21:59:21,-4.87
2020.02.03 03:02:49,-6.60
2020.02.06 17:00:00,-4.97
2020.02.07 08:29:05,-4.52
2020.02.07 18:28:54,-5.06
2020.02.10 04:39:29,-6.01
2020.02.18 09:40:19,12.78
2020.02.18 14:42:33,-2.60
2020.02.18 17:43:02,9.93
2020.02.19 12:41:43,10.57
2020.02.20 03:11:47,-6.65
2020.02.21 10:07:26,16.04
2020.02.21 18:33:13,-5.48
2020.02.24 10:31:12,24.88
2020.02.24 15:06:56,-10.89
2020.03.03 21:12:33,-10.68
2020.03.04 09:07:24,-14.90
2020.03.06 17:27:34,-9.98
2020.03.06 22:25:18,-20.25
2020.03.09 06:52:49,-21.38
2020.03.24 18:39:17,53.76
2020.03.31 20:14:56,-29.45
2020.04.06 17:00:06,34.67
2020.04.07 16:38:32,-11.26
2020.04.09 21:21:24,-10.97
2020.04.14 16:44:03,41.89
2020.04.14 22:10:30,-11.85
2020.04.27 17:12:26,-15.22
2020.04.30 15:41:31,-11.10
2020.05.08 15:49:42,-10.32
2020.05.15 15:52:41,24.20
2020.05.18 16:47:22,-8.87
2020.05.21 03:20:54,-9.49
2020.05.29 22:04:09,-7.14
2020.06.01 14:23:02,-7.02
2020.06.10 21:14:42,21.01
2020.06.11 14:31:45,-8.05
2020.06.22 16:40:05,18.21
2020.06.22 18:00:14,-8.35
2020.07.01 17:35:28,-9.09
2020.07.07 11:30:56,-4.81
2020.07.08 16:01:05,17.24
2020.07.08 18:22:51,-5.89
2020.07.21 15:12:49,13.84
2020.07.22 04:13:55,20.90
2020.07.22 04:17:58,-6.49
2020.07.24 16:03:49,30.91
2020.07.28 02:33:09,28.43
2020.07.28 06:04:31,-11.59
2020.08.03 03:33:52,-10.40
2020.08.05 01:18:09,27.78
2020.08.05 05:07:53,-11.44
2020.08.07 01:20:55,40.77
2020.08.07 06:37:55,-13.51
2020.08.18 17:28:27,-11.58
2020.08.27 16:21:02,36.52
2020.08.31 09:29:30,-13.28
2020.09.01 17:44:08,-9.28
2020.09.11 05:55:16,-12.48
2020.09.15 17:44:06,-8.23
2020.09.18 20:31:07,-6.84
2020.09.28 16:55:59,-8.51
2020.10.01 18:34:33,30.71
2020.10.02 16:11:34,-8.94
2020.10.09 17:04:17,25.18
2020.10.12 12:33:06,-8.17
2020.10.22 05:13:51,-9.61
2020.10.30 17:13:08,-8.67
2020.11.04 03:00:08,-18.48
2020.11.06 03:04:19,-10.03
2020.11.06 16:32:02,-9.74
2020.11.09 13:47:11,-9.85
2020.11.16 08:07:22,-6.90
2020.12.03 10:01:12,25.88
2020.12.08 16:41:48,25.74
2020.12.16 15:20:07,-6.89
2020.12.21 03:29:59,30.40
2020.12.21 10:02:05,-7.74
2020.12.28 01:06:30,-9.02
2020.12.28 08:30:18,-7.15
2021.01.04 01:05:00,17.96
2021.01.04 16:42:55,27.96
2021.01.04 17:09:34,-8.79
2021.01.05 03:48:20,-10.45
2021.01.06 04:56:50,-9.43
2021.01.20 15:02:03,-6.65
2021.01.22 13:16:30,-11.59
2021.02.11 19:44:33,-10.86
2021.02.19 17:25:03,-9.28
2021.02.23 16:39:27,-9.24
2021.03.12 10:58:15,-11.81
2021.03.16 18:22:02,-5.82
2021.03.18 10:36:57,-8.66
2021.03.31 23:11:03,-8.36
2021.04.05 09:00:26,-8.54
2021.04.05 20:48:28,-5.25
2021.04.06 10:07:20,-5.49
2021.04.07 15:01:09,-6.27
2021.04.09 06:13:40,-6.69
2021.04.14 16:17:06,-7.57
2021.04.16 13:56:08,19.93
2021.04.19 04:15:04,-6.77
2021.04.22 15:14:22,-8.02
2021.04.27 16:32:28,-5.91
2021.04.29 09:41:51,-6.44
2021.05.04 14:51:10,-6.51
2021.05.04 17:18:45,-5.55
2021.05.06 17:53:48,18.80
2021.05.07 15:52:27,25.67
2021.05.12 16:18:04,-6.82
2021.05.17 17:52:12,21.90
2021.05.19 13:13:53,-7.50
2021.05.19 16:04:27,-8.74
2021.05.26 15:30:16,23.32
2021.06.01 17:44:33,-8.51
2021.06.08 11:02:40,-5.54
2021.06.08 15:45:06,-5.21
2021.06.11 12:28:03,-9.51
2021.06.23 18:06:46,-6.50
2021.07.01 18:18:58,-6.76
2021.07.02 16:31:16,-6.51
2021.07.06 17:36:45,-4.82
2021.07.08 16:34:38,-7.74
2021.07.29 18:14:47,20.18
2021.08.04 17:02:22,-4.75
2021.08.13 17:05:16,21.38
2021.08.17 09:02:03,16.97
2021.08.25 03:44:46,-6.55
2021.08.27 14:06:42,-5.84
2021.08.27 17:22:26,-6.16
2021.09.07 17:04:49,-13.92
2021.09.14 16:38:16,-5.33
2021.09.15 15:54:00,-7.04
2021.09.22 21:00:04,-6.41
2021.09.22 21:01:14,-5.31
2021.10.04 17:46:09,22.03
2021.10.04 18:14:08,-6.55
2021.10.07 06:13:53,-8.94
2021.10.08 16:45:38,-5.84
2021.10.12 20:23:08,-5.85
2021.10.14 12:18:13,18.12
2021.10.19 16:14:51,-5.52
2021.10.21 10:03:13,-6.90
2021.10.22 18:21:51,-5.85
2021.10.28 16:38:58,-5.94
2021.11.08 03:07:16,18.00
2021.11.10 15:37:28,26.58
2021.11.10 20:06:41,-7.15
2021.11.15 03:39:49,-7.32
2021.11.26 13:26:25,14.10
2021.11.26 14:59:01,-7.14
2021.11.30 17:37:37,-6.88
2021.12.07 15:38:58,-9.11
2021.12.07 19:57:18,-6.14
2021.12.08 15:22:58,-5.84
2021.12.17 14:35:26,24.19
2021.12.28 12:34:38,12.20
2021.12.31 15:27:38,14.93
2022.01.03 09:06:20,-5.34
2022.01.05 17:23:09,-5.12
2022.01.11 22:58:29,20.43
2022.01.12 09:30:02,-6.19
2022.01.13 11:02:19,-6.99
2022.01.21 10:17:36,-8.34
2022.01.25 11:42:46,-7.92
2022.01.26 08:58:31,-7.22
2022.02.03 16:45:18,-8.66
2022.02.11 20:32:09,23.57
2022.02.11 22:21:09,20.71
2022.02.14 04:43:11,-9.68
2022.02.15 10:44:57,-9.05
2022.02.17 15:35:04,22.50
2022.02.17 16:11:52,-7.70
2022.02.18 12:30:33,-11.16
2022.02.21 02:55:57,-6.96
2022.02.24 06:11:18,21.09
2022.02.24 12:13:48,25.10
2022.02.24 16:33:23,-12.04
2022.03.02 12:26:15,-10.48
2022.03.04 03:24:07,-9.09
2022.03.07 01:13:51,37.81
2022.03.07 08:07:35,-11.28
2022.03.07 13:34:24,-12.64
2022.03.09 12:08:23,-16.39
2022.03.18 16:24:53,-13.97
2022.03.24 19:20:40,24.80
2022.03.25 09:37:37,-11.15
2022.03.31 03:14:29,-10.09
2022.04.01 10:12:25,-8.60
2022.04.05 17:12:08,-7.40
2022.04.11 15:07:10,21.20
2022.04.11 16:49:23,-7.68
2022.04.12 21:59:47,-8.44
2022.04.19 08:37:25,-11.33
2022.05.05 04:14:46,21.27
2022.05.05 11:10:49,-10.47
2022.05.17 17:52:36,-10.43
2022.05.19 16:35:48,-7.31
2022.05.20 17:05:26,-8.58
2022.05.26 14:24:07,-10.96
2022.06.03 12:26:46,-6.78
2022.06.08 23:33:46,-6.91
2022.06.13 15:32:39,-9.29
2022.06.15 16:24:42,-7.41
2022.06.15 21:53:59,-9.21
2022.06.16 09:44:22,-13.46
2022.06.17 21:59:40,-10.86
2022.06.22 17:17:10,-7.22
2022.06.29 16:40:22,-5.30
2022.07.08 15:30:08,-13.16
2022.07.08 18:22:43,-8.49
2022.07.13 22:28:13,-10.82
2022.07.28 11:17:22,29.92
2022.07.28 12:59:43,-7.41
2022.08.01 13:26:00,23.60
2022.08.05 15:30:09,-8.10
2022.08.10 08:16:04,-6.54
2022.08.15 08:23:39,-7.41
2022.08.26 17:02:44,-9.75
2022.09.12 21:10:21,-6.98
2022.09.21 22:45:42,-6.81
2022.09.30 10:07:41,27.07
2022.10.03 21:55:20,24.09
2022.10.10 06:21:54,-14.41
2022.10.31 11:30:23,-13.83
2022.11.01 17:00:16,-5.65
2022.11.08 17:09:30,27.76
2022.11.08 17:30:58,18.78
2022.11.09 12:08:17,-9.58
2022.11.11 07:34:46,25.01
2022.11.14 12:02:38,-10.96
2022.11.15 15:44:25,-6.84
2022.11.28 20:09:42,-11.29
2022.12.01 16:05:43,25.79
2022.12.05 11:04:03,-8.11
2022.12.09 13:43:11,16.85
2022.12.09 20:07:43,-7.07
2022.12.13 18:52:58,-6.99
2022.12.19 16:42:04,-6.36
2022.12.20 14:50:26,-5.90
2022.12.22 16:31:18,-10.81
2022.12.30 23:58:59,6.52
