"recovery_mode","hedge_mode","is_baseline","pf","net","trades","eqdd","baldd","beats_baseline","flat_lot_twin_mode","flat_lot_twin_pf","flat_lot_twin_trades","escalation_lift_vs_flatlot_pf"
"80","0","True","1.19","422.54","165","587.72(5.66%)","463.11(4.49%)","","","","",""
"81","0","False","1.17","366.63","177","512.65(5.01%)","462.20(4.53%)","False","","","",""
"82","0","False","1.51","898.78","170","545.03(5.17%)","405.87(3.89%)","True","81","1.17","177","+0.34"
"83","0","False","1.25","632.14","204","794.49(7.49%)","701.55(6.64%)","True","81","1.17","177","+0.08"
"80","1","False","1.19","422.54","165","587.72(5.66%)","463.11(4.49%)","","","","",""
"81","1","False","1.17","366.63","177","512.65(5.01%)","462.20(4.53%)","False","","","",""
"82","1","False","1.51","898.78","170","545.03(5.17%)","405.87(3.89%)","True","81","1.17","177","+0.34"
"83","1","False","1.25","632.14","204","794.49(7.49%)","701.55(6.64%)","True","81","1.17","177","+0.08"
