"ea","symbol","full_pf","full_trades","full_net","full_dd_pct","note"
"swb","AUDCAD",2.23,1055.0,6700.03,9.02,SPR30
"swb","AUDUSD",2.18,1419.0,11422.99,26.98,SPR30
"swb","XAUUSD",0.35,413.0,-10817.43,105.58,SPR30
"swb","AUDCAD",1.8,1253.0,5083.52,20.44,M0
"swb","AUDUSD",1.66,1669.0,7860.1,31.93,M0
"swb","XAUUSD",0.23,365.0,-8928.7,90.05,M0
