"Set","Window","PF","Trades","Net","EqDD","Leverage"
"O217_SR2_OFF","MAIN","0.96","304.0","-95.77","5.63","1:100"
"O217_SR2_OFF","BWD","0.87","296.0","-235.61","4.58","1:100"
"O217_SR2_ON_CWB1","MAIN","2.52","23.0","414.52","2.28","1:100"
"O217_SR2_ON_CWB1","BWD","1.42","16.0","72.13","0.98","1:100"
"O217_SR4_OFF","MAIN","1.04","274.0","100.48","4.06","1:100"
"O217_SR4_OFF","BWD","1.44","206.0","562.89","1.47","1:100"
"O217_SR4_ON_CWB1","MAIN","2.3","34.0","532.28","2.01","1:100"
"O217_SR4_ON_CWB1","BWD","1.13","33.0","48.36","1.44","1:100"
