"atr","window","pf","dd_pct","trades"
0.8,"BWD",8.88,1.34,49.0
0.8,"HOLDOUT",3.56,3.48,47.0
0.8,"FWD",11.5,0.83,34.0
1.2,"BWD",5.49,2.13,47.0
1.2,"HOLDOUT",0.14,15.73,41.0
1.2,"FWD",7.79,1.31,35.0
2,"BWD",5.49,1.15,38.0
2,"HOLDOUT",2.17,4.6,35.0
2,"FWD",5.87,2.46,29.0
3,"BWD",5.75,1.39,33.0
3,"HOLDOUT",0.16,19.52,31.0
3,"FWD",0.29,15.76,28.0
