set,tf,window,PF,Trades,Net,Win
B_P9_L45,H4,MAIN,0.98,97,-9.46,31.96
C_LB30_P14,H4,BWD,0.96,-39.91,98,2.35,32.65,-0.17,-0.12,OK
B_P9_L45,H4,BWD,NO_REPORT,,,
C_LB30_P21,H4,MAIN,,,,,,,,NO_REPORT
B_P9_L45,H1,MAIN,0.87,347,-139.11,29.11
C_LB30_P21,H4,BWD,,,,,,,,NO_REPORT
B_P9_L45,H1,BWD,0.99,385,-13.83,34.55
B_P9_L50,H4,MAIN,0.77,119,-155.33,28.57
C_LB30_P9,H4,MAIN,,,,,,,,NO_REPORT
B_P9_L50,H4,BWD,1.57,84,302.25,38.10
C_LB30_P9,H4,BWD,,,,,,,,NO_REPORT
B_P9_L50,H1,MAIN,0.93,384,-81.52,32.03
A_SMA14_P14,H1,MAIN,,,,,,,,NO_REPORT
B_P9_L50,H1,BWD,0.96,422,-64.01,33.65
B_P9_L55,H4,MAIN,1.13,111,73.27,35.14
A_SMA14_P14,H1,BWD,,,,,,,,NO_REPORT
B_P9_L55,H4,BWD,1.33,103,226.20,38.83
A_SMA14_P21,H1,MAIN,,,,,,,,NO_REPORT
B_P9_L55,H1,MAIN,0.99,374,-6.93,33.69
B_P9_L55,H1,BWD,0.96,392,-59.27,32.65
A_SMA14_P21,H1,BWD,,,,,,,,NO_REPORT
C_LB15_P14,H4,MAIN,0.86,111,-103.15,30.63
A_SMA14_P9,H1,MAIN,,,,,,,,NO_REPORT
C_LB15_P14,H4,BWD,1.25,99,201.07,37.37
A_SMA14_P9,H1,BWD,,,,,,,,NO_REPORT
C_LB15_P14,H1,MAIN,0.83,334,-213.10,29.94
C_LB15_P14,H1,BWD,0.99,384,-25.78,32.81
A_SMA20_P14,H1,MAIN,,,,,,,,NO_REPORT
C_LB15_P21,H4,MAIN,NO_REPORT,,,
A_SMA20_P14,H1,BWD,0.88,-230.12,547,2.99,29.25,-0.77,-0.74,OK
C_LB15_P21,H4,BWD,NO_REPORT,,,
A_SMA20_P21,H1,MAIN,0.79,-274.34,443,3.28,27.99,-0.83,-1.16,OK
C_LB15_P21,H1,MAIN,NO_REPORT,,,
A_SMA20_P21,H1,BWD,0.82,-328.22,494,3.72,28.95,-0.88,-1.06,OK
C_LB15_P21,H1,BWD,NO_REPORT,,,
A_SMA20_P9,H1,MAIN,0.87,-161.25,444,2.21,28.60,-0.73,-0.64,OK
C_LB15_P9,H4,MAIN,NO_REPORT,,,
C_LB15_P9,H4,BWD,1.17,96,134.46,37.50
A_SMA20_P9,H1,BWD,0.89,-220.42,550,3.44,29.82,-0.63,-0.68,OK
C_LB15_P9,H1,MAIN,NO_REPORT,,,
A_SMA30_P14,H1,MAIN,0.72,-365.43,430,4.17,26.05,-0.87,-1.57,OK
C_LB15_P9,H1,BWD,NO_REPORT,,,
C_LB20_P14,H4,MAIN,0.56,130,-422.37,23.08
C_LB20_P14,H4,BWD,1.06,105,54.12,37.14
A_SMA30_P14,H1,BWD,0.90,-167.49,460,3.52,31.52,-0.47,-0.55,OK
C_LB20_P14,H1,MAIN,NO_REPORT,,,
A_SMA30_P21,H1,MAIN,0.78,-276.16,404,3.83,29.70,-0.72,-1.21,OK
C_LB20_P14,H1,BWD,NO_REPORT,,,
C_LB20_P21,H4,MAIN,0.87,120,-102.43,31.67
C_LB20_P21,H4,BWD,1.17,87,139.69,39.08
A_SMA30_P21,H1,BWD,0.76,-433.57,452,4.62,28.10,-0.94,-1.50,OK
C_LB20_P21,H1,MAIN,NO_REPORT,,,
A_SMA30_P9,H1,MAIN,0.84,-212.78,457,2.79,28.23,-0.76,-0.89,OK
C_LB20_P21,H1,BWD,NO_REPORT,,,
C_LB20_P9,H4,MAIN,0.57,128,-406.71,22.66
C_LB20_P9,H4,BWD,0.95,96,-45.73,31.25
A_SMA30_P9,H1,BWD,0.85,-301.36,523,3.32,29.06,-0.91,-0.96,OK
C_LB20_P9,H1,MAIN,NO_REPORT,,,
B_P14_L45,H1,MAIN,,,,,,,,NO_REPORT
C_LB20_P9,H1,BWD,0.84,387,-296.95,31.52
C_LB30_P14,H4,MAIN,1.02,89,11.08,33.71
C_LB30_P14,H4,BWD,0.96,98,-39.91,32.65
B_P14_L45,H1,BWD,0.98,-20.79,286,1.50,31.82,-0.14,-0.08,OK
C_LB30_P14,H1,MAIN,NO_REPORT,,,
B_P14_L50,H1,MAIN,,,,,,,,NO_REPORT
C_LB30_P14,H1,BWD,1.11,348,178.48,35.34
C_LB30_P21,H4,MAIN,1.06,76,30.83,32.89
B_P14_L50,H1,BWD,,,,,,,,NO_REPORT
C_LB30_P21,H4,BWD,0.90,101,-91.22,29.70
B_P14_L55,H1,MAIN,,,,,,,,NO_REPORT
C_LB30_P21,H1,MAIN,NO_REPORT,,,
B_P14_L55,H1,BWD,1.01,13.90,317,2.12,35.02,0.06,0.05,OK
C_LB30_P21,H1,BWD,NO_REPORT,,,
B_P21_L45,H1,MAIN,0.90,-81.67,245,1.39,31.02,-0.58,-0.45,OK
C_LB30_P9,H4,MAIN,NO_REPORT,,,
B_P21_L45,H1,BWD,1.02,22.72,233,1.44,32.62,0.16,0.10,OK
C_LB30_P9,H4,BWD,NO_REPORT,,,
B_P21_L50,H1,MAIN,0.87,-114.11,250,2.34,28.40,-0.48,-0.58,OK
C_LB30_P9,H1,MAIN,NO_REPORT,,,
B_P21_L50,H1,BWD,1.02,25.91,256,1.99,34.77,0.13,0.11,OK
C_LB30_P9,H1,BWD,NO_REPORT,,,
B_P21_L55,H1,MAIN,1.03,24.19,251,1.77,32.67,0.14,0.13,OK
B_P21_L55,H1,BWD,0.97,-36.50,264,2.81,33.33,-0.13,-0.17,OK
B_P9_L45,H1,MAIN,0.87,-139.11,347,2.11,29.11,-0.66,-0.65,OK
B_P9_L45,H1,BWD,0.99,-13.83,385,1.87,34.55,-0.07,-0.05,OK
B_P9_L50,H1,MAIN,0.93,-81.52,384,2.02,32.03,-0.40,-0.38,OK
B_P9_L50,H1,BWD,0.96,-64.01,422,2.39,33.65,-0.26,-0.23,OK
B_P9_L55,H1,MAIN,0.99,-6.93,374,1.78,33.69,-0.04,-0.03,OK
B_P9_L55,H1,BWD,0.96,-59.27,392,2.48,32.65,-0.23,-0.22,OK
C_LB15_P14,H1,MAIN,0.83,-213.10,334,3.41,29.94,-0.62,-0.76,OK
C_LB15_P14,H1,BWD,0.99,-25.78,384,2.58,32.81,-0.10,-0.07,OK
C_LB15_P21,H1,MAIN,0.80,-256.93,338,3.74,28.70,-0.68,-0.92,OK
C_LB15_P21,H1,BWD,0.93,-126.02,398,3.14,33.42,-0.40,-0.32,OK
