"ea","symbol","full_pf","full_trades","full_net","full_dd_pct","note"
"RSI from pips_EA","EURUSD",2.25,1504.0,3108.12,7.67,SPREAD30
"Dark Venus","EURUSD",2.18,1962.0,4601.93,51.43,SPREAD30
"Z61","EURUSD",1.34,3526.0,2590.42,30.36,SPREAD30
"Yetti3_Mod2_newsWorking","EURUSD",1.02,9970.0,264.8,29.75,SPREAD30
