"atr","window","pf","net","dd_pct","trades"
0.5,"BWD",2.88,7226.32,19.14,1270.0
0.5,"FWD",0.91,-447.71,36.75,608.0
1,"BWD",2.96,7518.99,18.83,1270.0
1,"FWD",0.88,-559.84,37.54,600.0
1.5,"BWD",1.34,2083.33,37.79,1048.0
1.5,"FWD",0.91,-399.31,36.99,552.0
2,"BWD",1.82,3911.13,20.71,975.0
2,"FWD",0.84,-731.08,36.81,485.0
3,"BWD",1.26,1537.57,26.4,712.0
3,"FWD",2.76,1931.9,10.89,321.0
5,"BWD",1.57,1863.91,14.95,505.0
5,"FWD",2.63,1353.89,4.93,221.0
