symbol,tf,window,threshold,PF,trades,winpct,ddpct
EURUSD,H1,MAIN,rsi_40_60,0.44,46.0,36.96,0.39
EURUSD,H1,BWD,rsi_40_60,0.87,39.0,53.85,0.17
EURUSD,H1,MAIN,rsi_50_50,0.89,370.0,54.59,0.51
EURUSD,H1,BWD,rsi_50_50,0.85,359.0,53.2,0.72
XAUUSD,H1,MAIN,rsi_40_60,1.23,47.0,61.7,0.1
XAUUSD,H1,BWD,rsi_40_60,0.63,35.0,45.71,0.23
XAUUSD,H1,MAIN,rsi_50_50,0.94,365.0,55.62,0.41
XAUUSD,H1,BWD,rsi_50_50,0.76,351.0,50.43,0.87
