"ea","symbol","full_pf","full_trades","full_net","full_dd_pct","note"
"FZ2","EURUSD",0.36,1332.0,-9884.33,99.12,PROBE-mult0-MM0
"UnNomGuaiV1.132","EURUSD",1.89,3640.0,8527.06,18.74,PROBE-cap20-expect-identical
"swb grid 4.1.0.3_h","EURUSD",2.4,1840.0,13921.86,30.22,PROBE-flatlot
"Yetti3+NewsSherry","EURUSD",1.44,8644.0,1705.82,6.61,PROBE-boost1
