gate,window,pf,trades,winpct,net,eqDD_pct
nofilter,MAIN,1.56,319,38.24,1820.65,5.08
nofilter,BWD,1.04,243,30.86,54.84,3.43
g4555,MAIN,1.02,249,31.73,33.01,4.56
g4555,BWD,0.89,207,28.99,-96.49,1.65
g4060,MAIN,1.16,199,32.16,207.19,4.54
g4060,BWD,1.09,161,34.16,54.82,1.33
g5050,MAIN,1.25,299,35.45,622.36,5.01
g5050,BWD,0.94,242,28.93,-64.15,1.75
