idea,cellname,main_pf,main_tr,main_net,bwd_pf,bwd_tr,bwd_net,candidate
B_AsianDrift,md0p8_tp4,1.05,516,93.08,0.88,458,-124.32,no
B_AsianDrift,md0p8_tp5,1.03,516,63.59,0.84,458,-179.62,no
C_VolRegime,dn40_em1,1.02,344,58.61,0.83,341,-489.99,no
C_VolRegime,dn55_em1,1.1,305,316.72,0.83,296,-444.87,no
