combo,window,PF,Trades,DDpct,RF,Net,status
T1B_P21_L51,BWD,0.99,219,4.81,-0.06,-30.70,ok
T1B_P21_L53,MAIN,0.93,219,6.66,-0.34,-235.72,ok
T1B_P21_L53,BWD,1.02,238,4.22,0.10,45.68,ok
T1B_P23_L47,MAIN,0.79,202,9.67,-0.70,-680.77,ok
T1B_P23_L47,BWD,1.13,207,3.17,0.82,276.39,ok
T1B_P23_L49,MAIN,0.82,219,,-0.64,-650.05,ok
T1B_P23_L49,BWD,0.99,207,3.63,-0.08,-30.96,ok
T1B_P23_L50,MAIN,0.84,226,8.99,-0.66,-599.71,ok
T1B_P23_L50,BWD,0.95,204,4.30,-0.24,-106.91,ok
T1B_P23_L51,MAIN,0.93,226,6.14,-0.39,-243.93,ok
T1B_P23_L51,BWD,1.01,211,5.03,0.05,24.83,ok
T1B_P23_L53,MAIN,1.06,220,5.84,0.34,207.92,ok
T1B_P23_L53,BWD,1.02,216,3.09,0.13,40.44,ok
T1B_P25_L47,MAIN,0.83,191,7.65,-0.67,-509.89,ok
T1B_P25_L47,BWD,1.11,187,3.31,0.63,218.30,ok
T1B_P25_L49,MAIN,0.89,200,8.91,-0.39,-360.88,ok
T1B_P25_L49,BWD,1.01,201,4.28,0.03,13.51,ok
T1B_P25_L50,MAIN,0.77,214,9.86,-0.84,-826.83,ok
T1B_P25_L50,BWD,0.98,210,4.35,-0.10,-43.58,ok
T1B_P25_L51,MAIN,0.79,221,,-0.72,-747.35,ok
T1B_P25_L51,BWD,1.06,204,3.95,0.31,125.66,ok
T1B_P25_L53,MAIN,1.10,213,6.48,0.45,312.08,ok
T1B_P25_L53,BWD,1.02,204,3.28,0.13,44.29,ok
T2A_SMA10_P14,MAIN,0.88,501,,-0.69,-789.18,ok
T2A_SMA10_P14,BWD,0.72,530,,-0.89,-1,ok
T2A_SMA10_P21,MAIN,0.88,477,,-0.69,-705.77,ok
T2A_SMA10_P21,BWD,0.79,507,,-0.86,-964.75,ok
T2A_SMA10_P9,MAIN,0.84,507,,-0.77,-1,ok
T2A_SMA10_P9,BWD,0.88,502,6.94,-0.71,-498.30,ok
T2A_SMA14_P14,MAIN,0.83,457,,-0.83,-1,ok
T2A_SMA14_P14,BWD,0.87,505,,-0.51,-552.73,ok
T2A_SMA14_P21,MAIN,0.94,478,6.09,-0.54,-335.47,ok
T2A_SMA14_P21,BWD,0.89,483,8.55,-0.51,-435.03,ok
T2A_SMA14_P9,MAIN,0.88,493,,-0.60,-769.02,ok
T2A_SMA14_P9,BWD,0.78,526,,-0.86,-996.32,ok
T2A_SMA20_P14,MAIN,0.99,475,6.40,-0.08,-51.03,ok
T2A_SMA20_P14,BWD,0.93,418,4.75,-0.54,-257.10,ok
T2A_SMA20_P21,MAIN,0.93,509,7.95,-0.52,-422.37,ok
T2A_SMA20_P21,BWD,0.99,390,3.72,-0.13,-48.98,ok
