"atr","window","pf","net","dd_pct","trades"
7,"BWD",0.98,,13.01,390.0
7,"FWD",1.89,,3.98,141.0
9,"BWD",1.38,,5.33,267.0
9,"FWD",2.17,,3.36,104.0
10,"BWD",1.09,,4.72,216.0
10,"FWD",2.52,,2.57,90.0
