"atr","window","pf","dd_pct","trades"
1,"BWD",1.74,1.5,84.0
1,"FWD",2.16,4.38,188.0
1.5,"BWD",1.88,1.57,48.0
1.5,"FWD",1.15,5.71,161.0
2.2,"BWD",3.43,0.58,31.0
2.2,"FWD",1.72,1.66,90.0
3,"BWD",1.22,1.52,33.0
3,"FWD",1.34,1.91,71.0
4,"BWD",2.96,0.55,19.0
4,"FWD",1.47,1.36,47.0
