mode,window,PF,Net,Trades,DDpct,WinPct,status
M,MAIN,1.99,365.33,40,2.03,35.00,OK
M,BWD,1.12,23.92,26,1.74,19.23,OK
P,MAIN,1.68,249.98,37,2.13,32.43,OK
P,BWD,1.10,15.88,22,1.88,18.18,OK
S,MAIN,1.89,980.11,77,5.59,33.77,OK
S,BWD,1.12,67.56,47,5.21,19.15,OK
