"window","phase","atr","pf","dd_pct","trades"
1,"IS",8,1.46,4.17,149.0
1,"IS",9,1.39,3.75,134.0
1,"IS",10,1.14,4.72,113.0
1,"OOS(atr=8,isPF=1.46)",8,1.31,7.85,140.0
2,"IS",8,1.38,7.85,185.0
2,"IS",9,1.45,5.53,167.0
2,"IS",10,1.13,4.11,133.0
2,"OOS(atr=9,isPF=1.45)",9,1.74,3.29,131.0
3,"IS",8,1.18,5.56,203.0
3,"IS",9,1.13,5.29,165.0
3,"IS",10,1.52,4.02,133.0
3,"OOS(atr=10,isPF=1.52)",10,2.52,2.57,90.0
