"ea","symbol","full_pf","full_trades","full_net","full_dd_pct","note"
"AF-Global Expert Unlimited","EURUSD",1.57,14591.0,9717.59,48.76,
"AF-Global Expert Unlimited","USDJPY",,0.0,0.0,0.0,
"Automated Forex Grail","EURUSD",1.53,1063.0,12198.76,33.02,
"Automated Forex Grail","USDJPY",,0.0,0.0,0.0,
"BB SWING","USDJPY",,0.0,0.0,0.0,
