TOP5_MAIN
rank,StoK,OverSold,OverBought,SlAtrMult,TpAtrMult,EmaPeriod,PF_MAIN,Trades_MAIN,DD_MAIN
1,17,15,75,3.0,1,50,1.297705,115,0.1132
2,17,10,75,3.0,1,50,1.223789,90,0.1702
3,17,15,75,2.0,1,150,1.093102,221,0.2003
4,13,25,80,1.0,1,150,1.087076,331,0.3193
5,17,15,85,3.0,0,50,1.057124,49,0.2166

TOP3_BOTHWINDOW
rank,PF_MAIN,PF_BWD,Trades_MAIN,Trades_BWD
1,1.297705,1.13,115,75
2,1.223789,1.02,90,61
3,1.093102,0.78,221,192
