Sweep,Expert,Symbol,Period,Window,SetName,PF,Trades,DDpct,Net,RF
S2,RsiMomentum_Naked,XAUUSD,H1,MAIN,RSIMOM_P14_L55,0.92,295,7.86,-337.17,-0.41
S2,RsiMomentum_Naked,XAUUSD,H4,BWD,RSIMOM_P14_L55,1.08,69,3.60,109.76,0.30
S2,RsiMomentum_Naked,XAUUSD,H4,MAIN,RSIMOM_P14_L55,0.85,69,5.74,-281.07,-0.48
S2,RsiMomentum_Naked,XAUUSD,H1,BWD,RSIMOM_P21_L45,1.18,216,2.73,377.89,1.30
S2,RsiMomentum_Naked,XAUUSD,H1,MAIN,RSIMOM_P21_L45,0.75,209,,-848.72,-0.79
S2,RsiMomentum_Naked,XAUUSD,H4,BWD,RSIMOM_P21_L45,1.16,61,4.86,178.30,0.35
S2,RsiMomentum_Naked,XAUUSD,H4,MAIN,RSIMOM_P21_L45,0.24,44,,-1,-0.89
S2,RsiMomentum_Naked,XAUUSD,H1,BWD,RSIMOM_P21_L50,0.96,214,4.67,-100.50,-0.21
S2,RsiMomentum_Naked,XAUUSD,H1,MAIN,RSIMOM_P21_L50,0.86,226,8.56,-506.35,-0.58
S2,RsiMomentum_Naked,XAUUSD,H4,BWD,RSIMOM_P21_L50,1.30,65,2.15,326.35,1.48
S2,RsiMomentum_Naked,XAUUSD,H4,MAIN,RSIMOM_P21_L50,1.26,58,5.01,370.28,0.72
S2,RsiMomentum_Naked,XAUUSD,H1,BWD,RSIMOM_P21_L55,0.94,232,5.81,-140.02,-0.23
S2,RsiMomentum_Naked,XAUUSD,H1,MAIN,RSIMOM_P21_L55,0.92,241,8.41,-310.52,-0.35
S2,RsiMomentum_Naked,XAUUSD,H4,BWD,RSIMOM_P21_L55,1.27,65,2.44,301.86,1.23
S2,RsiMomentum_Naked,XAUUSD,H4,MAIN,RSIMOM_P21_L55,0.88,56,5.44,-189.29,-0.34
S2,RsiMomentum_Naked,XAUUSD,H1,BWD,RSIMOM_P9_L45,1.14,337,4.29,407.15,0.91
S2,RsiMomentum_Naked,XAUUSD,H1,MAIN,RSIMOM_P9_L45,0.97,312,7.39,-129.80,-0.17
S2,RsiMomentum_Naked,XAUUSD,H4,BWD,RSIMOM_P9_L45,1.27,79,2.87,365.02,1.20
S2,RsiMomentum_Naked,XAUUSD,H4,MAIN,RSIMOM_P9_L45,0.89,70,4.95,-188.58,-0.37
S2,RsiMomentum_Naked,XAUUSD,H1,BWD,RSIMOM_P9_L50,0.87,349,7.04,-412.58,-0.58
S2,RsiMomentum_Naked,XAUUSD,H1,MAIN,RSIMOM_P9_L50,0.93,350,6.31,-313.40,-0.49
S2,RsiMomentum_Naked,XAUUSD,H4,BWD,RSIMOM_P9_L50,1.02,79,2.87,36.45,0.12
S2,RsiMomentum_Naked,XAUUSD,H4,MAIN,RSIMOM_P9_L50,0.45,75,,-1,-0.89
S2,RsiMomentum_Naked,XAUUSD,H1,BWD,RSIMOM_P9_L55,0.69,364,,-1,-0.90
S2,RsiMomentum_Naked,XAUUSD,H1,MAIN,RSIMOM_P9_L55,1.00,364,4.37,-13.82,-0.03
S2,RsiMomentum_Naked,XAUUSD,H4,BWD,RSIMOM_P9_L55,1.40,76,3.01,473.52,1.48
S2,RsiMomentum_Naked,XAUUSD,H4,MAIN,RSIMOM_P9_L55,1.26,91,5.55,521.84,0.91
