"symbol","baseline_net","graft_net","baseline_pf","graft_pf","baseline_trades","graft_trades","baseline_eqdd","graft_eqdd","identical"
"AUDJPY","663.80","663.80","1.12","1.12","186","186","1305.07(12.16%)","1305.07(12.16%)","True"
"AUDUSD","-473.03","-473.03","0.75","0.75","46","46","968.06(9.23%)","968.06(9.23%)","True"
