idea,tf,pf,trades,net
GapContinuation,H1,17.36,11,196.00
GapContinuation,H4,9.84,11,193.40
GapContinuation,D1,0,0,0.00
PivotBreakout,M15,0.9,600,-352.11
PivotBreakout,H1,0.97,504,-154.00
PivotBreakout,H4,1.14,199,556.32
